F S UID          PID    PPID  C PRI  NI ADDR SZ WCHAN  STIME TTY          TIME CMD
1 S root        4913       1  0  80   0 -  1075 -      Jan04 ?        00:00:00 bioset
0 S root        4946    3159  0  80   0 -   998 -      Jan04 pts/0    00:00:00 bash
0 S root        4947    4946  0  80   0 -   978 -      Jan04 pts/0    00:00:00 /bin/bash /root/.meow.lul
4 S root        4996       1  0  80   0 - 58783 -      Jan04 ?        00:00:00 /usr/libexec/polkitd --no-debug
1 I root        6078       2  0  80   0 -     0 -      04:48 ?        00:00:11 [kworker/2:1-events]
4 S root        6084       1  0  80   0 - 109934 -     04:48 ?        00:00:10 /usr/bin/qterminal
0 S root        6087    6084  0  80   0 -  3661 -      04:48 pts/1    00:00:05 /usr/bin/zsh
1 I root        6327       2  0  80   0 -     0 -      05:09 ?        00:00:10 [kworker/3:1-events]
1 I root        6402       2  0  80   0 -     0 -      05:39 ?        00:00:20 [kworker/2:0-events_power_efficient]
1 I root        6442       2  0  80   0 -     0 -      05:39 ?        00:00:10 [kworker/1:1-events_freezable]
1 I root        6516       2  0  80   0 -     0 -      06:09 ?        00:00:00 [kworker/u256:2-events_unbound]
1 I root        6526       2  0  80   0 -     0 -      06:18 ?        00:00:00 [kworker/0:2-events]
1 I root        6630       2  0  80   0 -     0 -      06:39 ?        00:00:00 [kworker/3:0]
1 I root        6670       2  0  80   0 -     0 -      06:39 ?        00:00:01 [kworker/1:2-events]
1 I root        6682       2  0  80   0 -     0 -      06:48 ?        00:00:00 [kworker/u256:1-ext4-rsv-conversion]
1 I root        6684       2  0  80   0 -     0 -      06:52 ?        00:00:01 [kworker/0:1-events]
1 I root        6694       2  0  80   0 -     0 -      06:55 ?        00:00:00 [kworker/u256:0-ext4-rsv-conversion]
1 I root        6706       2  0  80   0 -     0 -      06:55 ?        00:00:00 [kworker/2:2]
1 I root        6757       2  0  80   0 -     0 -      06:57 ?        00:00:00 [kworker/0:0-events]
