F S UID          PID    PPID  C PRI  NI ADDR SZ WCHAN  STIME TTY          TIME CMD
0 S g4rb3n      1204     836  0  80   0 - 345715 poll_s 02:53 ?       00:00:00 /usr/libexec/evolution-calendar-factory
0 S g4rb3n      1221     836  0  80   0 - 684306 poll_s 02:53 ?       00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
0 S g4rb3n      1225     836  0  80   0 - 39048 poll_s 02:53 ?        00:00:00 /usr/libexec/dconf-service
0 S g4rb3n      1229     836  0  80   0 - 206137 poll_s 02:53 ?       00:00:00 /usr/libexec/evolution-addressbook-factory
0 S g4rb3n      1237     836  0  80   0 - 41375 poll_s 02:53 ?        00:00:00 /usr/libexec/gvfsd-metadata
0 S g4rb3n      1252     836  0  80   0 - 79305 poll_s 02:53 ?        00:00:00 /usr/libexec/gsd-a11y-settings
0 S g4rb3n      1253     836  0  80   0 - 143542 poll_s 02:53 ?       00:00:01 /usr/libexec/gsd-color
0 S g4rb3n      1254     836  0  80   0 - 94418 poll_s 02:53 ?        00:00:00 /usr/libexec/gsd-datetime
0 S g4rb3n      1257     836  0  80   0 - 79364 poll_s 02:53 ?        00:00:01 /usr/libexec/gsd-housekeeping
0 S g4rb3n      1258     836  0  80   0 - 87990 poll_s 02:53 ?        00:00:00 /usr/libexec/gsd-keyboard
0 S g4rb3n      1259     836  0  80   0 - 226848 poll_s 02:53 ?       00:00:01 /usr/libexec/gsd-media-keys
0 S g4rb3n      1260     836  0  80   0 - 106574 poll_s 02:53 ?       00:00:02 /usr/libexec/gsd-power
0 S g4rb3n      1263     836  0  80   0 - 62863 poll_s 02:53 ?        00:00:00 /usr/libexec/gsd-print-notifications
0 S g4rb3n      1264     836  0  80   0 - 115079 poll_s 02:53 ?       00:00:00 /usr/libexec/gsd-rfkill
0 S g4rb3n      1265     836  0  80   0 - 59681 poll_s 02:53 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
0 S g4rb3n      1266     836  0  80   0 - 118067 poll_s 02:53 ?       00:00:00 /usr/libexec/gsd-sharing
0 S g4rb3n      1267     836  0  80   0 - 80346 poll_s 02:53 ?        00:00:00 /usr/libexec/gsd-smartcard
0 S g4rb3n      1268     836  0  80   0 - 81271 poll_s 02:53 ?        00:00:00 /usr/libexec/gsd-sound
0 S g4rb3n      1269     836  0  80   0 - 97796 poll_s 02:53 ?        00:00:00 /usr/libexec/gsd-usb-protection
0 S g4rb3n      1270     836  0  80   0 - 87885 poll_s 02:53 ?        00:00:00 /usr/libexec/gsd-wacom
0 S g4rb3n      1271     836  0  80   0 - 80387 poll_s 02:53 ?        00:00:00 /usr/libexec/gsd-wwan
0 S g4rb3n      1272     836  0  80   0 - 88197 poll_s 02:53 ?        00:00:00 /usr/libexec/gsd-xsettings
0 S g4rb3n      1280    1120  0  80   0 - 160551 poll_s 02:53 ?       00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
0 S g4rb3n      1281    1120  0  80   0 - 57948 poll_s 02:53 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
